year,season,type,club1,club2,result1,result2,date,time,index,dates,scheduleid
2018,spring,常规赛,SN,WE,1,2,03-06,19:00,https://www.wanplus.com/schedule/38867.html,2018/03/06 19:00:00,38867
2018,spring,常规赛,OMG,TES,0,2,03-07,17:00,https://www.wanplus.com/schedule/38868.html,2018/03/07 17:00:00,38868
2018,spring,常规赛,LNG,JDG,2,1,03-07,19:00,https://www.wanplus.com/schedule/38869.html,2018/03/07 19:00:00,38869
2018,spring,常规赛,SN,FPX,2,1,03-09,17:00,https://www.wanplus.com/schedule/38870.html,2018/03/09 17:00:00,38870
2018,spring,常规赛,IG,BLG,2,0,03-09,19:00,https://www.wanplus.com/schedule/38871.html,2018/03/09 19:00:00,38871
2018,spring,常规赛,LGD,WE,1,2,03-10,17:00,https://www.wanplus.com/schedule/38872.html,2018/03/10 17:00:00,38872
2018,spring,常规赛,OMG,JDG,0,2,03-10,19:00,https://www.wanplus.com/schedule/38873.html,2018/03/10 19:00:00,38873
2018,spring,常规赛,LNG,TES,2,0,03-11,17:00,https://www.wanplus.com/schedule/38874.html,2018/03/11 17:00:00,38874
2018,spring,常规赛,RNG,EDG,2,1,03-11,19:00,https://www.wanplus.com/schedule/38875.html,2018/03/11 19:00:00,38875
2018,spring,常规赛,IG,VG,2,0,03-12,17:00,https://www.wanplus.com/schedule/38876.html,2018/03/12 17:00:00,38876
2018,spring,常规赛,FPX,RW,0,2,03-12,19:00,https://www.wanplus.com/schedule/38877.html,2018/03/12 19:00:00,38877
2018,spring,常规赛,LGD,OMG,0,2,03-13,17:00,https://www.wanplus.com/schedule/38878.html,2018/03/13 17:00:00,38878
2018,spring,常规赛,SN,BLG,2,0,03-13,19:00,https://www.wanplus.com/schedule/38879.html,2018/03/13 19:00:00,38879
2018,spring,常规赛,EDG,TES,2,1,03-14,17:00,https://www.wanplus.com/schedule/38880.html,2018/03/14 17:00:00,38880
2018,spring,常规赛,VG,JDG,1,2,03-14,19:00,https://www.wanplus.com/schedule/38881.html,2018/03/14 19:00:00,38881
2018,spring,常规赛,LNG,RW,0,2,03-16,17:00,https://www.wanplus.com/schedule/38882.html,2018/03/16 17:00:00,38882
2018,spring,常规赛,RNG,OMG,2,0,03-16,19:00,https://www.wanplus.com/schedule/38883.html,2018/03/16 19:00:00,38883
2018,spring,常规赛,IG,WE,2,0,03-17,16:00,https://www.wanplus.com/schedule/38884.html,2018/03/17 16:00:00,38884
2018,spring,常规赛,BLG,JDG,2,1,03-17,19:00,https://www.wanplus.com/schedule/38885.html,2018/03/17 19:00:00,38885
2018,spring,常规赛,LGD,EDG,1,2,03-17,19:00,https://www.wanplus.com/schedule/38886.html,2018/03/17 19:00:00,38886
2018,spring,常规赛,OMG,RW,0,2,03-18,17:00,https://www.wanplus.com/schedule/38887.html,2018/03/18 17:00:00,38887
2018,spring,常规赛,RNG,LNG,2,0,03-18,19:00,https://www.wanplus.com/schedule/38888.html,2018/03/18 19:00:00,38888
2018,spring,常规赛,SN,TES,2,1,03-19,17:00,https://www.wanplus.com/schedule/39434.html,2018/03/19 17:00:00,39434
2018,spring,常规赛,FPX,WE,2,1,03-19,19:00,https://www.wanplus.com/schedule/39435.html,2018/03/19 19:00:00,39435
2018,spring,常规赛,LGD,RW,0,2,03-20,17:00,https://www.wanplus.com/schedule/39436.html,2018/03/20 17:00:00,39436
2018,spring,常规赛,RNG,JDG,0,2,03-20,19:00,https://www.wanplus.com/schedule/39437.html,2018/03/20 19:00:00,39437
2018,spring,常规赛,VG,OMG,2,0,03-21,17:00,https://www.wanplus.com/schedule/39438.html,2018/03/21 17:00:00,39438
2018,spring,常规赛,EDG,LNG,1,2,03-21,19:00,https://www.wanplus.com/schedule/39439.html,2018/03/21 19:00:00,39439
2018,spring,常规赛,IG,JDG,2,0,03-23,17:00,https://www.wanplus.com/schedule/39440.html,2018/03/23 17:00:00,39440
2018,spring,常规赛,VG,EDG,0,2,03-23,19:00,https://www.wanplus.com/schedule/39441.html,2018/03/23 19:00:00,39441
2018,spring,常规赛,RW,TES,2,0,03-24,17:00,https://www.wanplus.com/schedule/39442.html,2018/03/24 17:00:00,39442
2018,spring,常规赛,BLG,WE,0,2,03-24,19:00,https://www.wanplus.com/schedule/39443.html,2018/03/24 19:00:00,39443
2018,spring,常规赛,LGD,SN,2,1,03-24,19:00,https://www.wanplus.com/schedule/39444.html,2018/03/24 19:00:00,39444
2018,spring,常规赛,OMG,EDG,1,2,03-25,14:00,https://www.wanplus.com/schedule/39445.html,2018/03/25 14:00:00,39445
